,Title,Subtitle,Link
0,England's chances of lifting World Cup revealed by supercomputer as it predicts mouthwatering repeat of epic clash,GOING FOR GOLD,https://www.thesun.co.uk/sport/39688273/england-world-cup-chances-supercomputer-predicts-argentina-france/
1,Argentina stars sing about FALKLANDS in dressing room in taunt at England,WAR CRY,https://www.thesun.co.uk/sport/39688002/argentina-stars-falklands-taunt-england-world-cup-win/
2,"Premier League ace, 29, quizzed by police after car crash puts woman in hospital",PREM SHOCK,https://www.thesun.co.uk/sport/39689285/brighton-kaoru-mitoma-quizzed-police-car-crash/
3,Man Utd in race against time to sell Rashford before pre-season training camp,ON YOUR MARCS,https://www.thesun.co.uk/sport/39687066/marcus-rashford-transfer-news-latest/
4,England vs Norway POSTPONEMENT fears with Miami temperature set to feel like 44C,MIAMI HEAT,https://www.thesun.co.uk/sport/39686512/england-world-cup-quarter-final-postponed-miami-temperatures/
5,Get £40 in World Cup 2026 free bets plus 100% BuildABet Boost with Sky Bet,TOP CLASS,https://www.thesun.co.uk/sport/39315934/sky-bet-world-cup-offer-free-bets-welcome-bonus/
6,Gory details of England World Cup ace Jordan Henderson's shock injury revealed as dad says 'he's completely smashed arm','SMASHED IT',https://www.thesun.co.uk/sport/39685924/jordan-henderson-injury-details-revealed-england-world-cup/
7,How England could line up if eligible foreign stars declared for Three Lions instead – with Olise behind Haaland & Kane,ENG-CREDIBLE,https://www.thesun.co.uk/sport/39688726/england-line-up-haaland-olise-semenyo-musiala-world-cup/
8,England defenders' record vs Haaland as key man to stop Norway ace revealed,HAAL OF SHAME,https://www.thesun.co.uk/sport/39685406/england-defenders-record-erling-haaland-world-cup/
9,'Heartbroken' Man Utd legend Mark Hughes carries son's coffin at funeral,FINAL FAREWELL,https://www.thesun.co.uk/sport/39685408/man-utd-legend-mark-hughes-son-alex-coffin/
10,Politician threatens to SUE Mbappe & hints at jail term after her racist post,MBAPPE FURY,https://www.thesun.co.uk/sport/39689281/paraguay-politician-threatens-kylian-mbappe-jail-racist-post/
11,Egypt submit official Fifa complaint over ref after controversial World Cup exit,ESCALATED,https://www.thesun.co.uk/sport/39689024/egypt-fifa-complaint-referee-world-cup-exit-argentina/
12,Get set for World Cup and Wimbledon with huge beer deals at Sainsbury's,DRINK TO THAT,https://www.thesun.co.uk/sport/39583153/england-norway-wimbledon-beer-deals-pimms-sainsburys/
13,Troy Deeney: England's £224m midfield pairing haven't dominated anyone – I can't see us getting past Argentina,MID-DLE OF THE ROAD,https://www.thesun.co.uk/sport/39685325/england-midfield-norway-argentina-world-cup-deeney/
14,Get £50 in free Bet Builder bets with Paddy Power when you bet £10,POWER OFFER,https://www.thesun.co.uk/sport/39316678/world-cup-free-bets-paddy-power-promo-code/
15,World Cup 2026 free bets and offers: Best new football sign-up deals,WORLDIE OFFERS,https://www.thesun.co.uk/sport/39273117/world-cup-2026-free-bets-sign-up-offers/
16,World Cup 2026: Get £40 in free bets with Tote when you bet £10,WORLD CUP BONUS,https://www.thesun.co.uk/sport/39340935/tote-free-bets-world-cup-offer-join-promo-code/
17,Man City ticket and hotel deals for all Premier League matches,PARADISE CITY,https://www.thesun.co.uk/sport/39222150/manchester-city-ticket-hotel-packages-premier-league-etihad/
18,Secure your spot at Grand National 2027 with deals from just £189pp,NATIONAL PLEASURE,https://www.thesun.co.uk/sport/37215968/grand-national-aintree-tickets-hotels-2027/
19,Official Spurs ticket and hotel packages for the new Premier League season,SPUR-FECT,https://www.thesun.co.uk/sport/39228834/tottenham-premier-league-ticket-hotel-packages/
20,How England's 'screen team' can stop Erling Haaland in Norway World Cup quarter-final clash,FORCE FIELD,https://www.thesun.co.uk/sport/39683572/tactics-exposed-england-norway-erling-haaland/
21,Henderson breaks silence after being rushed to hospital with horror injury,HEND OF THE LINE,https://www.thesun.co.uk/sport/39681452/jordan-henderson-world-cup-ending-injury-mexico-breaks-silence/
